Angle,AutoHitType,AutoPitchType,AwayTeam,BatterId,Batter,BatterSide,BatterTeam,Bearing,CatcherTeam,Date,Distance,ExitSpeed,HomeTeam,HorzBreak,KorBB,InducedVertBreak,PitcherId,Pitcher,PitcherTeam,PitchCall,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PlayResult,RelSpeed,SpinRate,Strikes,Temporada,Temporada_Anio,id_path,fecha_carga,auto_pitch_type_2
,,Curveball,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-15.68005,Undefined,-7.68,834960.0,Oscar Martinez,RAM_ARA,BallCalled,Right,1,3.77725,-0.90408,Undefined,74.9101,2825.966346,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Slider,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-0.47598,Undefined,4.01886,1000324991.0,Pedro Montano,RAM_ARA,BallCalled,Right,1,1.06697,0.36833,Undefined,79.83505,1973.719001,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,7.94426,Walk,12.38572,1000279227.0,Luis Angel Valerio,RAM_ARA,BallCalled,Right,6,1.51211,-1.47606,Undefined,89.14422,2340.730473,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,Rectas y sinkers
22.954908,LineDrive,Slider,RAM_ARA,1000358452.0,Roger Aldazaba Pimienta,Right,NEL_BAR,15.670008,RAM_ARA,2025-06-27,301.88176,85.04651,NEL_BAR,4.99622,Undefined,8.9143,1000371213.0,Axel De Lira Serna,RAM_ARA,InPlay,Right,4,2.25631,-0.15547,Out,87.0603,2084.101808,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
,,Changeup,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-15.91284,Undefined,7.07733,1000324973.0,Francisco Garcia,RAM_ARA,BallCalled,Left,3,3.1339,-2.48058,Undefined,84.51398,2317.045951,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000358452.0,Roger Aldazaba Pimienta,Right,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,6.74024,Undefined,7.34772,1000371213.0,Axel De Lira Serna,RAM_ARA,BallCalled,Right,2,1.48711,-0.94116,Undefined,89.09142,2083.817866,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,Rectas y sinkers
,,Four-Seam,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,6.24303,Undefined,13.42973,1000279227.0,Luis Angel Valerio,RAM_ARA,StrikeCalled,Right,1,2.82742,-1.03733,Undefined,87.02061,2241.284321,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,Rectas y sinkers
,,Changeup,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-15.25666,Undefined,-0.51335,1000324973.0,Francisco Garcia,RAM_ARA,BallCalled,Left,2,2.74114,-2.35354,Undefined,75.01861,1795.942258,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,7.8028,Undefined,14.52233,1000324991.0,Pedro Montano,RAM_ARA,StrikeCalled,Right,5,2.89483,-0.72926,Undefined,89.19826,2243.506953,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
-22.440471,GroundBall,Sinker,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,7.884457,RAM_ARA,2025-06-26,6.28362,82.61827,NEL_BAR,13.03946,Undefined,9.25012,1000202515.0,Pablo Yuren Rodriguez,RAM_ARA,InPlay,Right,3,2.11178,-0.47843,Single,87.10083,2059.596645,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Slider,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,3.24217,Undefined,13.30048,1000444894.0,Edgar Daniel Melgar,RAM_ARA,StrikeCalled,Right,2,2.74131,1.23429,Undefined,84.29445,2433.854177,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Curveball,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,-3.71642,Undefined,-4.67607,1000279227.0,Luis Angel Valerio,RAM_ARA,BallinDirt,Right,4,-0.16324,-1.1184,Undefined,79.06181,2327.152724,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
